letter,octave,velocity,time_on,time_off,duration,note_number
E,3,70,14160,14210,50,40
A#,5,50,14160,14210,50,70
C#,3,60,14160,14210,50,37
F#,3,50,14160,14210,50,42
D,3,40,14160,14210,50,38
E,3,40,14220,14270,50,40
E,3,50,14280,14330,50,40
F#,3,50,14280,14330,50,42
E,3,40,14340,14390,50,40
E,3,50,14400,14450,50,40
B,2,50,14400,14450,50,35
E,3,40,14460,14510,50,40
E,3,50,14520,14570,50,40
F#,3,50,14520,14570,50,42
E,3,40,14580,14630,50,40
E,3,70,14640,14690,50,40
A#,5,50,14640,14690,50,70
C#,3,60,14640,14690,50,37
F#,3,50,14640,14690,50,42
D,3,40,14640,14690,50,38
E,3,40,14700,14750,50,40
E,3,50,14760,14810,50,40
F#,3,50,14760,14810,50,42
B,2,40,14760,14810,50,35
E,3,40,14820,14870,50,40
E,3,50,14880,14930,50,40
F#,3,50,14880,14930,50,42
B,2,50,14880,14930,50,35
E,3,40,14940,14990,50,40
E,3,50,15000,15050,50,40
F#,3,50,15000,15050,50,42
E,3,40,15060,15110,50,40
E,3,70,15120,15170,50,40
A#,5,50,15120,15170,50,70
C#,3,60,15120,15170,50,37
F#,3,50,15120,15170,50,42
D,3,40,15120,15170,50,38
E,3,40,15180,15230,50,40
E,3,50,15240,15290,50,40
F#,3,50,15240,15290,50,42
E,3,40,15300,15350,50,40
E,3,50,15360,15410,50,40
B,2,50,15360,15410,50,35
E,3,40,15420,15470,50,40
E,3,50,15480,15530,50,40
F#,3,50,15480,15530,50,42
E,3,40,15540,15590,50,40
E,3,70,15600,15650,50,40
A#,5,50,15600,15650,50,70
C#,3,60,15600,15650,50,37
F#,3,50,15600,15650,50,42
D,3,40,15600,15650,50,38
E,3,40,15660,15710,50,40
E,3,50,15720,15770,50,40
F#,3,50,15720,15770,50,42
B,2,40,15720,15770,50,35
E,3,40,15780,15830,50,40
E,3,50,15840,15890,50,40
F#,3,50,15840,15890,50,42
B,2,50,15840,15890,50,35
E,3,40,15900,15950,50,40
E,3,50,15960,16010,50,40
F#,3,50,15960,16010,50,42
E,3,40,16020,16070,50,40
E,3,70,16080,16130,50,40
A#,5,50,16080,16130,50,70
C#,3,60,16080,16130,50,37
F#,3,50,16080,16130,50,42
D,3,40,16080,16130,50,38
E,3,40,16140,16190,50,40
E,3,50,16200,16250,50,40
F#,3,50,16200,16250,50,42
E,3,40,16260,16310,50,40
E,3,50,16320,16370,50,40
B,2,50,16320,16370,50,35
E,3,40,16380,16430,50,40
E,3,50,16440,16490,50,40
F#,3,50,16440,16490,50,42
E,3,40,16500,16550,50,40
E,3,70,16560,16610,50,40
A#,5,50,16560,16610,50,70
C#,3,60,16560,16610,50,37
F#,3,50,16560,16610,50,42
D,3,40,16560,16610,50,38
E,3,40,16620,16670,50,40
E,3,50,16680,16730,50,40
F#,3,50,16680,16730,50,42
B,2,40,16680,16730,50,35
E,3,40,16740,16790,50,40
E,3,50,16800,16850,50,40
F#,3,50,16800,16850,50,42
B,2,50,16800,16850,50,35
E,3,40,16860,16910,50,40
E,3,50,16920,16970,50,40
F#,3,50,16920,16970,50,42
E,3,40,16980,17030,50,40
E,3,70,17040,17090,50,40
A#,5,50,17040,17090,50,70
C#,3,60,17040,17090,50,37
F#,3,50,17040,17090,50,42
D,3,40,17040,17090,50,38
E,3,40,17100,17150,50,40
E,3,50,17160,17210,50,40
F#,3,50,17160,17210,50,42
E,3,40,17220,17270,50,40
E,3,50,17280,17330,50,40
B,2,50,17280,17330,50,35
E,3,40,17340,17390,50,40
E,3,50,17400,17450,50,40
F#,3,50,17400,17450,50,42
E,3,40,17460,17510,50,40
E,3,70,17520,17570,50,40
A#,5,50,17520,17570,50,70
C#,3,60,17520,17570,50,37
F#,3,50,17520,17570,50,42
D,3,40,17520,17570,50,38
E,3,40,17580,17630,50,40
E,3,50,17640,17690,50,40
F#,3,50,17640,17690,50,42
B,2,40,17640,17690,50,35
E,3,40,17700,17750,50,40
E,3,50,17760,17810,50,40
F#,3,50,17760,17810,50,42
B,2,50,17760,17810,50,35
E,3,40,17820,17870,50,40
E,3,50,17880,17930,50,40
F#,3,50,17880,17930,50,42
D,3,60,17880,17930,50,38
E,3,40,17940,17990,50,40
D,3,40,17940,17990,50,38
E,3,70,18000,18050,50,40
A#,5,50,18000,18050,50,70
C,4,50,18000,18050,50,48
C#,3,60,18000,18050,50,37
F#,3,50,18000,18050,50,42
D,3,40,18000,18050,50,38
E,3,40,18060,18110,50,40
C,4,50,18060,18110,50,48
E,3,50,18120,18170,50,40
A,3,40,18120,18170,50,45
F#,3,50,18120,18170,50,42
E,3,40,18180,18230,50,40
A,3,50,18180,18230,50,45
E,3,50,18240,18290,50,40
B,2,60,18240,18290,50,35
E,3,40,18300,18350,50,40
F#,4,25,18300,18350,50,54
E,3,50,18360,18410,50,40
F#,4,40,18360,18410,50,54
F#,3,50,18360,18410,50,42
E,3,40,18420,18470,50,40
F#,4,25,18420,18470,50,54
E,3,70,18480,18530,50,40
A#,5,50,18480,18530,50,70
F#,4,60,18480,18530,50,54
C#,3,60,18480,18530,50,37
F#,3,50,18480,18530,50,42
D,3,60,18480,18530,50,38
E,3,40,18540,18590,50,40
F#,4,25,18540,18590,50,54
E,3,50,18600,18650,50,40
F#,4,40,18600,18650,50,54
F#,3,50,18600,18650,50,42
B,2,40,18600,18650,50,35
E,3,40,18660,18710,50,40
F#,4,25,18660,18710,50,54
E,3,50,18720,18770,50,40
F#,4,40,18720,18770,50,54
F#,3,50,18720,18770,50,42
B,2,60,18720,18770,50,35
E,3,40,18780,18830,50,40
F#,4,25,18780,18830,50,54
E,3,50,18840,18890,50,40
F#,4,40,18840,18890,50,54
F#,3,50,18840,18890,50,42
E,3,40,18900,18950,50,40
F#,4,25,18900,18950,50,54
E,3,70,18960,19010,50,40
A#,5,50,18960,19010,50,70
F#,4,60,18960,19010,50,54
C#,3,60,18960,19010,50,37
F#,3,50,18960,19010,50,42
D,3,60,18960,19010,50,38
E,3,40,19020,19070,50,40
F#,4,25,19020,19070,50,54
E,3,50,19080,19130,50,40
F#,4,40,19080,19130,50,54
F#,3,50,19080,19130,50,42
E,3,40,19140,19190,50,40
F#,4,25,19140,19190,50,54
E,3,50,19200,19250,50,40
F#,4,40,19200,19250,50,54
B,2,60,19200,19250,50,35
E,3,40,19260,19310,50,40
F#,4,25,19260,19310,50,54
E,3,50,19320,19370,50,40
F#,4,40,19320,19370,50,54
F#,3,50,19320,19370,50,42
E,3,40,19380,19430,50,40
F#,4,25,19380,19430,50,54
E,3,70,19440,19490,50,40
A#,5,50,19440,19490,50,70
F#,4,60,19440,19490,50,54
C#,3,60,19440,19490,50,37
F#,3,50,19440,19490,50,42
D,3,60,19440,19490,50,38
E,3,40,19500,19550,50,40
