letter,octave,velocity,time_on,time_off,duration,note_number
A,3,127,115920,116041,121,45
F#,3,127,116040,116146,106,42
G,3,127,116160,116277,117,43
B,3,127,116400,116514,114,47
G,3,127,116520,116641,121,43
F#,3,127,117000,117109,109,42
G,3,127,117131,117247,116,43
B,3,127,117360,117474,114,47
G,3,127,117482,117627,145,43
D,4,127,118080,118205,125,50
C#,4,127,118200,118347,147,49
G,3,127,118320,118443,123,43
A,3,127,118440,118535,95,45
A,3,127,118680,118780,100,45
A,3,127,118800,118918,118,45
D,4,127,119040,119164,124,50
C#,4,127,119160,119292,132,49
G,3,127,119280,119393,113,43
A,3,127,119400,119517,117,45
A,3,127,119640,119744,104,45
A,3,127,119760,119869,109,45
D,4,127,120000,120128,128,50
C#,4,127,120120,120247,127,49
G,3,127,120240,120344,104,43
A,3,127,120360,120478,118,45
A,3,127,120600,120695,95,45
A,3,127,120720,120847,127,45
D,4,127,120960,121095,135,50
C#,4,127,121080,121216,136,49
G,3,127,121200,121303,103,43
A,3,127,121320,121426,106,45
A,3,127,121560,121634,74,45
A,3,127,121680,121801,121,45
F#,3,127,121800,121906,106,42
G,3,127,121920,122037,117,43
B,3,127,122160,122274,114,47
G,3,127,122280,122401,121,43
F#,3,127,122760,122869,109,42
G,3,127,122891,123007,116,43
B,3,127,123120,123234,114,47
G,3,127,123242,123387,145,43
D,4,127,123840,123965,125,50
C#,4,127,123960,124107,147,49
G,3,127,124080,124203,123,43
A,3,127,124200,124295,95,45
A,3,127,124440,124540,100,45
A,3,127,124560,124678,118,45
D,4,127,124800,124924,124,50
C#,4,127,124920,125052,132,49
G,3,127,125040,125153,113,43
A,3,127,125160,125277,117,45
A,3,127,125400,125504,104,45
A,3,127,125520,125629,109,45
D,4,127,125760,125888,128,50
C#,4,127,125880,126007,127,49
G,3,127,126000,126104,104,43
A,3,127,126120,126238,118,45
A,3,127,126360,126455,95,45
A,3,127,126480,126607,127,45
D,4,127,126720,126855,135,50
C#,4,127,126840,126976,136,49
G,3,127,126960,127063,103,43
A,3,127,127080,127186,106,45
A,3,127,127320,127394,74,45
A,3,127,127440,127561,121,45
F#,3,127,127560,127666,106,42
G,3,127,127680,127797,117,43
B,3,127,127920,128034,114,47
G,3,127,128040,128161,121,43
F#,3,127,128520,128629,109,42
G,3,127,128651,128767,116,43
B,3,127,128880,128994,114,47
G,3,127,129002,129147,145,43
D,5,127,2880,3005,125,62
G,4,127,3120,3243,123,55
A,4,127,3240,3335,95,57
A,3,127,3480,3580,100,45
A,3,127,3600,3718,118,45
D,5,127,3840,3964,124,62
C#,5,127,3960,4092,132,61
G,4,127,4080,4193,113,55
A,4,127,4200,4317,117,57
A,3,127,4440,4544,104,45
A,3,127,4560,4669,109,45
D,5,127,4800,4928,128,62
C#,5,127,4920,5047,127,61
G,4,127,5040,5144,104,55
A,4,127,5160,5278,118,57
A,3,127,5400,5495,95,45
A,3,127,5520,5647,127,45
D,5,127,5760,5895,135,62
C#,5,127,5880,6016,136,61
G,4,127,6000,6103,103,55
A,4,127,6120,6226,106,57
A,3,127,6360,6434,74,45
A,3,127,6480,6601,121,45
G,4,127,6720,6837,117,55
B,4,127,6960,7074,114,59
G,4,127,7080,7201,121,55
F#,4,127,7560,7669,109,54
G,4,127,7691,7807,116,55
B,4,127,7920,8034,114,59
G,4,127,8042,8187,145,55
D,5,127,8640,8765,125,62
C#,5,127,8760,8907,147,61
G,4,127,8880,9003,123,55
A,4,127,9000,9095,95,57
A,3,127,9240,9340,100,45
A,3,127,9360,9478,118,45
D,5,127,9600,9724,124,62
C#,5,127,9720,9852,132,61
G,4,127,9840,9953,113,55
A,4,127,9960,10077,117,57
A,3,127,10200,10304,104,45
A,3,127,10320,10429,109,45
D,5,127,10560,10688,128,62
C#,5,127,10680,10807,127,61
G,4,127,10800,10904,104,55
A,4,127,10920,11038,118,57
A,3,127,11160,11255,95,45
A,3,127,11280,11407,127,45
D,5,127,11520,11655,135,62
C#,5,127,11640,11776,136,61
G,4,127,11760,11863,103,55
A,4,127,11880,11986,106,57
A,3,127,12120,12194,74,45
A,3,127,12240,12361,121,45
F#,4,127,12360,12466,106,54
G,4,127,12480,12597,117,55
